year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
2017,1143000,51000,Diesel,Individual,Automatic,First Owner,17.0,1582 CC,126.0,259.9Nm@ 1900-2750rpm,5.0
2019,700000,20000,Petrol,Individual,Automatic,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2011,229999,18500,Petrol,Individual,Manual,First Owner,18.0,1197 CC,85.0,114Nm@ 4000rpm,5.0
2017,509999,142000,Diesel,Individual,Manual,First Owner,18.0,1493 CC,100.0,240Nm@ 1600-2800rpm,7.0
2016,670000,50478,Petrol,Individual,Manual,First Owner,15.0,1499 CC,110.0,140Nm@ 4400rpm,5.0
2019,525000,9200,Petrol,Individual,Automatic,First Owner,23.0,1199 CC,83.0,114Nm@ 3500rpm,5.0
2016,515000,40000,Diesel,Individual,Manual,First Owner,19.0,1461 CC,83.0,200Nm@ 1750rpm,5.0
2020,630000,5000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2019,270000,2300,Petrol,Individual,Manual,First Owner,22.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2016,300000,40000,Petrol,Individual,Manual,First Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2012,250000,119000,Diesel,Individual,Manual,First Owner,14.0,2489 CC,95.0,220Nm at 1400-2600 rpm,8.0
2005,90000,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2017,750000,100000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2009,135000,50000,Petrol,Individual,Manual,Second Owner,18.0,1061 CC,67.0,84Nm@ 3500rpm,5.0
2013,275000,80000,Petrol,Individual,Manual,Second Owner,15.0,1196 CC,73.0,101Nm@ 3000rpm,5.0
2018,740000,15000,Petrol,Individual,Manual,First Owner,17.0,1198 CC,108.0,170Nm@ 1750-4000rpm,5.0
2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.0,1198 CC,86.0,109Nm@ 4500rpm,5.0
2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.0,1968 CC,188.0,400nm@ 1750-3000rpm,5.0
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.0,2487 CC,214.0,202Nm@ 3600-5200rpm,5.0
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.0,3604 CC,280.0,347Nm@ 4300rpm,5.0
2018,1000000,4295,Petrol,Trustmark Dealer,Manual,First Owner,17.0,1496 CC,105.0,140Nm@ 4200rpm,5.0
2018,1000000,5229,Petrol,Trustmark Dealer,Manual,First Owner,17.0,1496 CC,105.0,140Nm@ 4200rpm,5.0
2019,550000,4701,Petrol,Trustmark Dealer,Manual,First Owner,20.0,1197 CC,81.0,113.75Nm@ 4000rpm,5.0
2016,600000,6757,Petrol,Trustmark Dealer,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2016,675000,28182,Petrol,Trustmark Dealer,Automatic,First Owner,14.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2019,950000,11533,Petrol,Trustmark Dealer,Manual,First Owner,14.0,1498 CC,104.0,142Nm@ 4000rpm,5.0
2017,850000,11688,Petrol,Trustmark Dealer,Manual,First Owner,17.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494 CC,157.0,213Nm@ 4500rpm,5.0
2012,550000,57728,Petrol,Trustmark Dealer,Automatic,First Owner,14.0,1794 CC,138.0,173Nm@ 4000rpm,5.0
2018,925000,23712,Diesel,Trustmark Dealer,Manual,First Owner,28.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2015,625000,70670,Petrol,Trustmark Dealer,Automatic,First Owner,16.0,1499 CC,110.0,140Nm@ 4400rpm,5.0
2014,200000,43381,Petrol,Dealer,Manual,Second Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2014,635000,79011,Petrol,Trustmark Dealer,Automatic,First Owner,18.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2014,425000,50000,Diesel,Individual,Manual,Second Owner,21.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2011,220000,40000,Petrol,Individual,Manual,First Owner,18.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2018,590000,10000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2017,775000,35000,Diesel,Individual,Manual,First Owner,16.0,2498 CC,105.0,247Nm@ 1800-2000rpm,6.0
2015,350000,58500,Petrol,Individual,Manual,First Owner,18.0,1197 CC,85.0,114Nm@ 4000rpm,5.0
2018,575000,20000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2011,200000,43500,Petrol,Individual,Manual,Second Owner,18.0,1198 CC,75.0,104Nm@ 4000rpm,5.0
2018,1575000,30000,Diesel,Individual,Manual,First Owner,17.0,2179 CC,153.0,400Nm@ 1750-2500rpm,7.0
2015,600000,63000,Diesel,Individual,Manual,First Owner,22.0,1498 CC,98.0,205Nm@ 1750-3250rpm,5.0
2016,720000,35000,Diesel,Individual,Manual,First Owner,15.0,2523 CC,62.0,195Nm@ 1400-2200rpm,7.0
2012,158000,110000,Diesel,Individual,Manual,Second Owner,19.0,1396 CC,69.0,135Nm@ 2500rpm,5.0
2018,1575000,25000,Diesel,Individual,Manual,First Owner,17.0,2179 CC,153.0,400Nm@ 1750-2500rpm,7.0
2017,580000,30000,Petrol,Individual,Automatic,First Owner,17.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2012,420000,50000,Diesel,Individual,Manual,First Owner,15.0,2523 CC,62.0,195Nm@ 1400-2200rpm,7.0
2018,1200000,35000,Diesel,Individual,Manual,First Owner,17.0,1497 CC,121.0,300Nm@ 1750-2500rpm,8.0
2018,350000,30000,Petrol,Individual,Manual,First Owner,23.0,999 CC,67.0,91Nm@ 4250rpm,5.0
2014,650000,56000,Petrol,Individual,Manual,First Owner,17.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
2017,400000,12700,Petrol,Individual,Manual,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2018,700000,35000,Diesel,Individual,Manual,First Owner,21.0,1497 CC,108.0,260Nm@ 1500-2750rpm,5.0
2017,520000,30000,Petrol,Individual,Manual,First Owner,19.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2012,450000,120000,Diesel,Individual,Manual,First Owner,12.0,2179 CC,120.0,290Nm@ 1800-2800rpm,9.0
2017,850000,100000,Diesel,Individual,Manual,First Owner,14.0,2179 CC,147.0,320Nm@ 1500-3000rpm,7.0
2017,350000,34000,Petrol,Individual,Manual,First Owner,25.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2011,450000,56000,Diesel,Individual,Manual,First Owner,13.0,2489 CC,95.0,220Nm at 1400-2600 rpm,8.0
2008,165000,90000,Petrol,Individual,Manual,First Owner,19.0,1086 CC,68.0,99.04Nm@ 4500rpm,5.0
2010,160000,65000,Petrol,Individual,Manual,Second Owner,17.0,1086 CC,62.0,96.1Nm@ 3000rpm,5.0
2011,300000,80000,Diesel,Individual,Manual,First Owner,13.0,2179 CC,138.0,320Nm@ 1700-2700rpm,7.0
2012,550000,90000,Diesel,Individual,Manual,Third Owner,12.0,2179 CC,120.0,290Nm@ 1800-2800rpm,8.0
2015,285000,40000,Petrol,Individual,Manual,First Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,850000,58000,Diesel,Individual,Manual,First Owner,19.0,1582 CC,126.0,259.9Nm@ 1900-2750rpm,5.0
2018,700000,19100,Petrol,Individual,Manual,First Owner,19.0,1194 CC,94.0,120Nm@ 4250rpm,5.0
2018,900000,25000,Petrol,Individual,Manual,First Owner,19.0,1462 CC,103.0,138Nm@ 4400rpm,7.0
2005,180000,49455,Petrol,Individual,Manual,First Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2016,220000,100000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2013,120000,120000,Diesel,Individual,Manual,First Owner,22.0,1248 CC,74.0,190Nm@ 1750-3000rpm,5.0
2010,220000,90000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197 CC,80.0,"11.4 kgm at 4,000 rpm",5.0
2013,420000,46815,Diesel,Individual,Manual,Second Owner,22.0,1248 CC,76.0,205Nm@ 1750rpm,5.0
2013,160000,110000,Diesel,Individual,Manual,First Owner,19.0,1405 CC,70.0,135.4Nm@ 2500rpm,5.0
2015,250000,80000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2013,385000,100000,Diesel,Individual,Manual,Third Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2014,318000,80000,Petrol,Individual,Manual,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2018,480000,40000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2015,330000,70000,Petrol,Individual,Manual,Third Owner,23.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2011,152000,80000,Diesel,Individual,Manual,First Owner,17.0,1405 CC,71.0,135 Nm at 2500  rpm ,5.0
2014,250000,40000,Petrol,Individual,Manual,First Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2011,248000,80000,Diesel,Individual,Manual,First Owner,17.0,1405 CC,71.0,135 Nm at 2500  rpm ,5.0
2011,300000,60000,Petrol,Individual,Manual,Second Owner,18.0,1198 CC,75.0,104Nm@ 4000rpm,5.0
2017,550000,50000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2016,650000,30000,Diesel,Individual,Manual,First Owner,22.0,1396 CC,88.0,219.7Nm@ 1500-2750rpm,5.0
2017,445000,25000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2010,450000,334000,Diesel,Individual,Manual,First Owner,12.0,2494 CC,102.0,20.4@ 1400-3400(kgm@ rpm),7.0
2016,600000,100000,Diesel,Individual,Manual,First Owner,17.0,1493 CC,100.0,240Nm@ 1600-2800rpm,7.0
2014,495000,175000,Diesel,Individual,Manual,First Owner,19.0,1461 CC,108.0,248Nm@ 2250rpm,5.0
2011,220000,65000,Petrol,Individual,Automatic,Third Owner,12.0,1586 CC,103.0,145Nm@ 4100rpm,5.0
2011,260000,65000,Petrol,Individual,Automatic,Third Owner,12.0,1586 CC,103.0,145Nm@ 4100rpm,5.0
2009,150000,90000,Petrol,Individual,Manual,First Owner,17.0,1086 CC,62.0,96.1Nm@ 3000rpm,5.0
2011,200000,80000,Diesel,Individual,Manual,Second Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2018,1465000,110000,Diesel,Individual,Manual,First Owner,16.0,2179 CC,140.0,320Nm@ 1500-2800rpm,7.0
2012,285000,80000,Diesel,Individual,Manual,Second Owner,,,,,
2008,250000,60000,Petrol,Individual,Automatic,Third Owner,20.0,1339 CC,108.0,123Nm@ 1000-2500rpm,5.0
2014,310000,160000,Diesel,Individual,Manual,First Owner,14.0,2489 CC,93.0,218Nm@ 1400-2600rpm,7.0
2010,600000,100875,Diesel,Individual,Automatic,First Owner,11.0,2179 CC,120.0,290Nm@ 1800-2800rpm,8.0
2018,560000,20000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2016,500000,30000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2013,270000,118000,Diesel,Individual,Manual,First Owner,24.0,1120 CC,70.0,160Nm@ 1500-2750rpm,5.0
2013,420000,69000,Diesel,Individual,Manual,Third Owner,22.0,1582 CC,126.0,259.8Nm@ 1900-2750rpm,5.0
2015,434999,25000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2015,400000,100000,Petrol,Individual,Automatic,First Owner,16.0,1197 CC,81.0,113.75Nm@ 4000rpm,5.0
2015,470000,110000,Diesel,Individual,Manual,First Owner,26.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2015,480000,60000,Diesel,Individual,Manual,Third Owner,20.0,1461 CC,83.0,200Nm@ 1900rpm,5.0
2008,105000,128000,Petrol,Individual,Manual,First Owner,0.0,1086 CC,62.0,96.1Nm@ 3000rpm,5.0
2017,325000,120000,Diesel,Individual,Manual,First Owner,27.0,1047 CC,69.0,140Nm@ 1800-3000rpm,5.0
2012,280000,80000,Diesel,Individual,Manual,Second Owner,,,,,
2020,675000,5000,Petrol,Individual,Automatic,First Owner,20.0,1197 CC,81.0,113.75Nm@ 4000rpm,5.0
2009,170000,90000,Petrol,Individual,Manual,Second Owner,20.0,1197 CC,78.0,111.8Nm@ 4000rpm,5.0
2017,1250000,90000,Diesel,Individual,Manual,First Owner,19.0,1582 CC,126.0,259.9Nm@ 1900-2750rpm,5.0
2012,600000,144030,Petrol,Individual,Manual,First Owner,12.0,2354 CC,177.0,222Nm@ 4300rpm,5.0
2014,819999,200000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2016,650000,29000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2007,105000,90000,LPG,Individual,Manual,Second Owner,17.0,1061 CC,57.0,"7.8@ 4,500(kgm@ rpm)",5.0
2009,200000,176000,Diesel,Individual,Manual,Second Owner,17.0,1461 CC,66.0,"16@ 2,000(kgm@ rpm)",5.0
2013,200000,150000,Diesel,Individual,Manual,First Owner,19.0,1396 CC,69.0,135Nm@ 2500rpm,5.0
2016,220000,90000,Petrol,Individual,Manual,First Owner,16.0,796 CC,34.0,59Nm@ 2500rpm,8.0
2014,500000,70000,Petrol,Individual,Manual,Second Owner,15.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2007,175000,99000,Diesel,Individual,Manual,Second Owner,19.0,1461 CC,65.0,"16@ 2,000(kgm@ rpm)",5.0
2018,450000,5000,Petrol,Individual,Manual,First Owner,23.0,1199 CC,84.0,114Nm@ 3500rpm,5.0
2008,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.0,1991 CC,123.0,305Nm@ 2000rpm,5.0
2011,270000,89000,Diesel,Individual,Manual,Second Owner,21.0,1248 CC,73.0,113Nm@ 4500rpm,5.0
2006,110000,88000,Diesel,Individual,Manual,Second Owner,16.0,1405 CC,62.0,"12.5@ 2,500(kgm@ rpm)",5.0
2015,480000,30000,Diesel,Individual,Manual,First Owner,26.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2016,650000,50000,Diesel,Individual,Automatic,Second Owner,26.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2013,480000,80000,Diesel,Individual,Manual,First Owner,23.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2016,700000,40000,Diesel,Individual,Manual,First Owner,22.0,1396 CC,88.0,219.7Nm@ 1500-2750rpm,5.0
2015,650000,110000,Diesel,Individual,Manual,Third Owner,20.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2015,1300000,48000,Diesel,Individual,Manual,Second Owner,19.0,1582 CC,126.0,259.9Nm@ 1900-2750rpm,5.0
2016,1350000,97000,Diesel,Individual,Automatic,First Owner,16.0,1968 CC,138.0,320Nm@ 1750-2500rpm,5.0
2016,1000000,60000,Diesel,Individual,Automatic,First Owner,22.0,1498 CC,108.0,250Nm@ 1500-3000rpm,5.0
2011,1700000,110000,Diesel,Individual,Automatic,Third Owner,0.0,2987 CC,165.0,510@ 1600-2400,5.0
2018,1080000,12800,Petrol,Individual,Automatic,First Owner,17.0,1496 CC,105.0,140Nm@ 4200rpm,5.0
2012,170000,40000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2017,610000,49000,Diesel,Individual,Manual,First Owner,28.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2014,350000,25000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,85.0,114Nm@ 4000rpm,5.0
2016,260000,65000,Petrol,Individual,Manual,Second Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2015,700000,20000,Diesel,Individual,Manual,First Owner,20.0,1248 CC,91.0,209Nm@ 2000rpm,5.0
2018,678000,17000,Petrol,Individual,Manual,First Owner,18.0,999 CC,75.0,95Nm@ 3000-4300rpm,5.0
2015,800000,15000,Diesel,Individual,Manual,First Owner,23.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2014,400000,120000,Diesel,Individual,Manual,Second Owner,23.0,1364 CC,67.0,170Nm@ 1800-2400rpm,5.0
2010,300000,49000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,80.0,"11.4 kgm at 4,000 rpm",5.0
2016,520000,29000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2017,850000,55000,Diesel,Individual,Automatic,First Owner,19.0,1461 CC,108.0,248Nm@ 2250rpm,5.0
2019,1460000,5000,Diesel,Individual,Manual,First Owner,17.0,1497 CC,121.0,300Nm@ 1750-2500rpm,7.0
2017,830000,35000,Diesel,Individual,Manual,First Owner,21.0,1497 CC,108.0,260Nm@ 1500-2750rpm,5.0
2018,430000,5000,Petrol,Individual,Manual,Second Owner,20.0,1198 CC,67.0,104Nm@ 4000rpm,5.0
2017,850000,60000,Diesel,Individual,Manual,First Owner,22.0,1498 CC,98.0,205Nm@ 1750-3250rpm,5.0
2017,650000,70000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2008,120000,120000,Diesel,Individual,Manual,Second Owner,16.0,1493 CC,110.0,"24@ 1,900-2,750(kgm@ rpm)",5.0
2016,730000,65100,Diesel,Individual,Manual,Second Owner,18.0,1493 CC,100.0,240Nm@ 1600-2800rpm,7.0
2019,525000,20000,Petrol,Individual,Automatic,First Owner,20.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2015,600000,108000,Diesel,Individual,Manual,First Owner,21.0,1396 CC,88.0,220Nm@ 1500-2750rpm,5.0
2019,500000,15000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2009,150000,77000,Petrol,Individual,Manual,First Owner,17.0,1086 CC,62.0,96.1Nm@ 3000rpm,5.0
2015,409999,18500,Petrol,Individual,Manual,First Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2016,625000,120000,Diesel,Individual,Manual,First Owner,18.0,1493 CC,100.0,240Nm@ 1600-2800rpm,7.0
2015,290000,15200,Petrol,Individual,Manual,First Owner,25.0,799 CC,53.0,72Nm@ 4386rpm,5.0
2015,500000,35000,Petrol,Individual,Manual,First Owner,17.0,1497 CC,117.0,145Nm@ 4600rpm,7.0
2011,475000,80000,Diesel,Individual,Manual,First Owner,22.0,1582 CC,126.0,259.8Nm@ 1900-2750rpm,5.0
2013,190000,70000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2014,750000,80000,Diesel,Individual,Manual,Second Owner,15.0,2179 CC,140.0,330Nm@ 1600-2800rpm,7.0
2014,525000,120000,Diesel,Individual,Manual,Second Owner,19.0,1461 CC,108.0,248Nm@ 2250rpm,5.0
2012,495000,82000,Diesel,Individual,Manual,Third Owner,17.0,1998 CC,163.0,380Nm@ 2000rpm,5.0
2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.0,2487 CC,214.0,202Nm@ 3600-5200rpm,5.0
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.0,1999 CC,177.0,430Nm@ 1750-2500rpm,5.0
2015,503000,110000,Diesel,Individual,Manual,First Owner,14.0,2179 CC,147.0,320Nm@ 1500-3000rpm,7.0
2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969 CC,190.0,400Nm,5.0
2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,2494 CC,157.0,213Nm@ 4500rpm,5.0
2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.0,2494 CC,100.0,200Nm@ 1200-3600rpm,7.0
2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.0,1496 CC,88.0,132Nm@ 3000rpm,5.0
2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197 CC,81.0,113Nm@ 4200rpm,5.0
2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186 CC,73.0,190.24nm@ 1750-2250rpm,5.0
2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.0,1995 CC,190.0,400Nm@ 1750-2500rpm,5.0
2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.0,1598 CC,103.0,153Nm@ 3800rpm,5.0
2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.0,1984 CC,150.0,350Nm@ 1500-2750rpm,5.0
2010,321000,60000,Petrol,Individual,Automatic,Second Owner,16.0,1497 CC,118.0,146Nm at 4800 rpm,5.0
2017,585000,50000,Petrol,Individual,Manual,First Owner,17.0,1197 CC,78.0,104Nm@ 3100rpm,5.0
2011,225000,70000,Diesel,Individual,Manual,First Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2017,500000,70000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2011,350000,90000,Diesel,Individual,Manual,Third Owner,23.0,1396 CC,90.0,22.4 kgm at 1750-2750rpm,5.0
2016,756000,70000,Diesel,Individual,Manual,Second Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2014,240000,50000,Petrol,Individual,Manual,First Owner,22.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2012,80000,120000,Petrol,Individual,Manual,Second Owner,19.0,796 CC,35.0,6.1kgm@ 3000rpm,8.0
2019,800000,5000,Petrol,Individual,Manual,First Owner,17.0,1197 CC,81.0,114.73Nm@ 4000rpm,5.0
2018,1250000,25000,Diesel,Individual,Manual,First Owner,17.0,2179 CC,147.0,320Nm@ 1500-3000rpm,7.0
2009,320000,80000,Diesel,Individual,Manual,Third Owner,12.0,2179 CC,120.0,290Nm@ 1800-2800rpm,7.0
2017,509999,25000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,114Nm@ 4000rpm,5.0
2019,650000,15000,Diesel,Individual,Manual,First Owner,22.0,1248 CC,74.0,190Nm@ 1750-3000rpm,5.0
2011,210000,35000,Petrol,Individual,Manual,Second Owner,20.0,998 CC,67.0,90Nm@ 3500rpm,5.0
2008,110000,80000,Petrol,Individual,Manual,Second Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2017,665000,25000,Diesel,Individual,Manual,First Owner,21.0,1497 CC,108.0,260Nm@ 1500-2750rpm,5.0
2017,555000,52000,Diesel,Individual,Manual,First Owner,21.0,1498 CC,108.0,250Nm@ 1500-3000rpm,5.0
2017,560000,52000,Diesel,Individual,Manual,First Owner,21.0,1498 CC,108.0,250Nm@ 1500-3000rpm,5.0
2016,375000,80000,Diesel,Individual,Manual,First Owner,25.0,1198 CC,77.0,190Nm@ 1750-2250rpm,6.0
2011,290000,77000,Diesel,Individual,Manual,Second Owner,,,,,
2017,2950000,50000,Diesel,Individual,Automatic,First Owner,15.0,2755 CC,174.0,450Nm@ 1600-2400rpm,7.0
2017,605000,127000,Diesel,Individual,Manual,First Owner,28.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2017,720000,30000,Petrol,Individual,Manual,First Owner,17.0,1199 CC,88.0,110Nm@ 4800rpm,5.0
2017,800000,70000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2017,1325000,54000,Diesel,Individual,Manual,First Owner,16.0,2179 CC,140.0,330Nm@ 1600-2800rpm,7.0
2011,625000,120000,Diesel,Individual,Manual,Second Owner,10.0,2835 CC,116.0,292Nm@ 2000rpm,6.0
2011,350000,116500,Diesel,Individual,Manual,First Owner,23.0,1396 CC,90.0,22.4 kgm at 1750-2750rpm,5.0
2012,600000,145000,Diesel,Individual,Manual,Second Owner,12.0,2494 CC,100.0,200Nm@ 1400-3400rpm,8.0
2012,300000,120000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,82.0,113.7Nm@ 4000rpm,5.0
2011,240000,120000,Diesel,Individual,Manual,First Owner,13.0,2179 CC,138.0,320Nm@ 1700-2700rpm,7.0
2016,377000,80000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,99.0,215Nm@ 1750-3000rpm,5.0
2013,450000,140000,Petrol,Individual,Manual,First Owner,16.0,1373 CC,93.0,130Nm@ 4000rpm,7.0
2008,160000,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.0,1599 CC,103.0,"14.9@ 3,000(kgm@ rpm)",5.0
2019,525000,100000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2011,550000,168000,Diesel,Individual,Manual,Second Owner,12.0,2494 CC,102.0,20.4@ 1400-3400(kgm@ rpm),8.0
2010,270000,120000,Diesel,Individual,Manual,Third Owner,18.0,1991 CC,147.0,327Nm@ 2600rpm,5.0
2016,570000,145000,Diesel,Individual,Manual,Second Owner,23.0,1364 CC,67.0,170Nm@ 1800-2400rpm,5.0
2011,225000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2019,590000,90000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2018,1675000,80000,Diesel,Individual,Manual,First Owner,17.0,1956 CC,170.0,350Nm@ 1750-2500rpm,5.0
2019,800000,33000,Petrol,Dealer,Manual,First Owner,19.0,1194 CC,94.0,120Nm@ 4250rpm,5.0
2014,450000,13500,Petrol,Individual,Manual,First Owner,18.0,1199 CC,82.0,108.5Nm@ 5000rpm,5.0
2012,300000,80000,Diesel,Individual,Manual,First Owner,17.0,1405 CC,70.0,"13.5@ 2,500(kgm@ rpm)",5.0
2017,645000,20000,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2013,520000,58000,Diesel,Individual,Manual,First Owner,23.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2013,200000,40000,Petrol,Individual,Manual,First Owner,21.0,814 CC,55.0,74.5Nm@ 4000rpm,5.0
2015,700000,30000,Petrol,Individual,Manual,First Owner,17.0,1497 CC,117.0,145Nm@ 4600rpm,5.0
