Retail Branding,Marketing Name,Device,Model
HTC,HTC Desire 626,htc_a32ewlpp,HTCD200LVWPP
HTC,HTC Desire 626,htc_a32ul,HTC Desire 626
HTC,HTC Desire 626,htc_a32ul_emea,HTC Desire 626
HTC,HTC Desire 626,htc_a32ul_emea,HTC_0PKX2
HTC,HTC Desire 626 dual sim,htc_a32ml_dtul,HTC Desire 626 dual sim
HTC,HTC Desire 626G+ dual sim,htc_a32mg_dug,HTC 0PM11
HTC,HTC Desire 626G+ dual sim,htc_a32mg_dug,HTC Desire 626G dual sim
HTC,HTC Desire 626G+ dual sim,htc_a32mg_dug,HTC Desire 626GPLUS dual sim
HTC,HTC Desire 626G+ dual sim,htc_a32mg_dug,HTC_D626ph
HTC,HTC Desire 626s,htc_a32eul,HTC Desire 625
HTC,HTC Desire 626s,htc_a32eul,HTC Desire 626s
HTC,HTC Desire 626s,htc_a32eul_la,HTC Desire 626s
HTC,HTC Desire 626s,htc_a32ewhl,0PM92
HTC,HTC Desire 626s,htc_a32ewhl,HTC 0PM92
HTC,HTC Desire 626s,htc_a32ewhl,HTC Desire 626s
HTC,HTC Desire 628,htc_v36bml_uhl,HTC Desire 628
HTC,HTC Desire 628 dual sim,htc_v36bml_dugl,HTC 2PVG2
HTC,HTC Desire 628 dual sim,htc_v36bml_dugl,HTC Desire 628 dual sim
HTC,HTC Desire 630 dual sim,htc_a16dwgl,HTC 2PST5
HTC,HTC Desire 630 dual sim,htc_a16dwgl,HTC Desire 630 dual sim
HTC,HTC Desire 650,htc_a17uhl,HTC 2PYR1
HTC,HTC Desire 650,htc_a17uhl,HTC Desire 650
HTC,HTC Desire 650,htc_a17uhl,HTC_D650h
HTC,HTC Desire 700 dual sim,cp5dug,HTC Desire 700 dual sim
HTC,HTC Desire 700 dual sim,cp5dwg,HTC Desire 700 dual sim
HTC,HTC Desire 700 dual sim,cp5dwg,HTC_709d
HTC,HTC Desire 7060,cp5dug,HTC_7060
HTC,HTC Desire 7088,cp5dtu,HTC 7088
HTC,HTC Desire 709d,cp5dwg,HTC 709d
HTC,HTC Desire 728,htc_a50cml_tuhl,HTC 2PQ84
HTC,HTC Desire 728,htc_a50cml_tuhl,HTC Desire 728
HTC,HTC Desire 728G dual sim,htc_a50cmg_dwg,HTC 2PQ83
HTC,HTC Desire 728G dual sim,htc_a50cmg_dwg,HTC Desire 728G dual sim
HTC,HTC Desire 816,htc_a5chl,HTC Desire 816
HTC,HTC Desire 816,htc_a5ul,HTC Desire 816
HTC,HTC Desire 816,htc_a5ul,HTC_0P9C2
HTC,HTC Desire 816,htc_a5ul,HTC_D816x
HTC,HTC Desire 816 dual sim,htc_a5dug,HTC Desire 816 dual sim
HTC,HTC Desire 816 dual sim,htc_a5dwg,HTC Desire 816 dual sim
HTC,HTC Desire 816G dual,htc_a5mgp_dug,HTC Desire 816G dual sim
HTC,HTC Desire 816G dual sim,htc_a5mg_dug,HTC Desire 816G dual sim
HTC,HTC Desire 816G dual sim,htc_a5mgp_dug,HTC D816h
HTC,HTC Desire 816G dual sim,htc_a5mgp_dug,HTC Desire 816G dual sim
HTC,HTC Desire 820,htc_a51ul,HTC Desire 820
HTC,HTC Desire 820 dual sim,htc_a51dtul,HTC Desire 820 dual sim
HTC,HTC Desire 820G PLUS dual sim,htc_a50mgp_dug,HTC Desire 820G PLUS dual sim
HTC,HTC Desire 820G PLUS dual sim,htc_a50mgp_dug,HTC Desire 820G dual sim
HTC,HTC Desire 820G PLUS dual sim,htc_a50mgp_dug,HTC_D820pi
HTC,HTC Desire 820q dual sim,htc_a50dtul,HTC Desire 820q dual sim
HTC,HTC Desire 820s,htc_a50ml_dtul,HTC D820ts
HTC,HTC Desire 820s,htc_a50ml_dtul,HTC D820us
HTC,HTC Desire 820s,htc_a50ml_dtul,HTC Desire 820s dual sim
HTC,HTC Desire 820s dual sim,htc_a50ml,HTC Desire 820s dual sim
HTC,HTC Desire 825,htc_a56uhl,HTC 2PUK2
HTC,HTC Desire 825,htc_a56uhl,HTC Desire 825
HTC,HTC Desire 825,htc_a56uhl,HTC_D825u
HTC,HTC Desire 825 dual sim,htc_a56dugl,HTC 2PUK1
HTC,HTC Desire 825 dual sim,htc_a56dugl,HTC Desire 825 dual sim
HTC,HTC Desire 826,htc_a52dtul,HTC D826w
HTC,HTC Desire 826,htc_a52tuhl,HTC_D826y
HTC,HTC Desire 826 4G \xe7\xa7\xbb\xe5\x8b\x95\xe5\x85\xac\xe9\x96\x8b\xe7\x89\x88(\xe5\x8f\x8c\xe5\x8d\xa1\xe5\x8f\x8c\xe5\xbe\x85),htc_a52dtul,HTC D826t
HTC,HTC Desire 826 dual sim,htc_a52dtul,HTC Desire 826 dual sim
HTC,HTC Desire 826 dual sim,htc_a52dwgl,HTC Desire 826 dual sim
HTC,HTC Desire 828,htc_a51bml_tuhl,HTC 2PRE4
HTC,HTC Desire 828,htc_a51bml_tuhl,HTC Desire 828
HTC,HTC Desire 828,htc_a51bml_tuhl,HTC_D828g
HTC,HTC Desire 828 dual sim,htc_a51bml_dtul,HTC Desire 828 dual sim
HTC,HTC Desire 828 dual sim,htc_a51bml_dwgl,HTC 2PRE2
HTC,HTC Desire 828 dual sim,htc_a51bml_dwgl,HTC Desire 828 dual sim
HTC,HTC Desire 830,htc_a51cml_tuhl,HTC Desire 830
HTC,HTC Desire 830,htc_a51cml_tuhl,HTC_D830x
HTC,HTC Desire 830 dual sim,htc_a51cml_dtul,HTC 2PVD1
HTC,HTC Desire 830 dual sim,htc_a51cml_dtul,HTC D830u
HTC,HTC Desire 830 dual sim,htc_a51cml_dtul,HTC Desire 830 dual sim
HTC,HTC Desire C,golfc,HTC Desire C
HTC,HTC Desire C,golfu,HTC Desire C
HTC,HTC Desire D626w,htc_a32ml_dtul,HTC D626w
HTC,HTC Desire EYE,htc_eyetuhl,HTC 0PFH2
HTC,HTC Desire EYE,htc_eyetuhl,HTC Desire EYE
HTC,HTC Desire EYE,htc_eyetuhl,HTC_M910x
HTC,HTC Desire EYE,htc_eyeul,HTC 0PFH11
HTC,HTC Desire EYE,htc_eyeul,HTC Desire EYE
HTC,HTC Desire EYE,htc_eyeul_att,HTC Desire Eye
HTC,HTC Desire L dual sim,cp2dug,HTC Desire L dual sim
HTC,HTC Desire P,magniu,HTC Desire P
HTC,HTC Desire SV,magnids,HTC Desire SV
HTC,HTC Desire V,primods,HTC Desire Q
HTC,HTC Desire V,primods,HTC Desire U
HTC,HTC Desire V,primods,HTC Desire U dual sim
HTC,HTC Desire V,primods,HTC Desire V
HTC,HTC Desire V,primods,HTC PROMIN_U
HTC,HTC Desire V,primods,HTC PRO_DS
HTC,HTC Desire V,primods,HTC T327w
HTC,HTC Desire V,primods,HTC T328w
HTC,HTC Desire X,protou,HTC Desire X
HTC,HTC Desire X,protou,HTC POO_U
HTC,HTC Desire X dual sim,protodug,HTC Desire X dual sim
HTC,HTC Desire XC dual sim,protodcg,HTC Desire XC dual sim
HTC,HTC Desire320,htc_v01_u,HTC_Desire_320
HTC,HTC Desire626s,htc_a32eulatt,HTC 0PM912
HTC,HTC Desire626s,htc_a32eulatt,HTC Desire 626
HTC,HTC Desire815G,htc_a5mgp_u,HTC Desire 816G
HTC,HTC Desrie D530,htc_a16ul,HTC 2PST1
HTC,HTC Desrie D530,htc_a16ul,HTC Desire 530
HTC,HTC E9pt,htc_a55ml_dtul,HTC E9pt
HTC,HTC E9pw,htc_a55ml_dtul,HTC E9pw
HTC,HTC E9t,htc_a53ml_dtul,HTC E9t
HTC,HTC E9w,htc_a53ml_dtul,HTC E9w
HTC,HTC EVO 3D ISW12HT,shooterk,ISW12HT
HTC,HTC EVO 3D X515m,shooteru,HTC EVO 3D X515a
HTC,HTC EVO 3D X515m,shooteru,HTC EVO 3D X515m
HTC,HTC EVO 3D X515m,shooteru,HTC Inspire 3D
HTC,HTC EVO 4G LTE,jewel,EVO
HTC,HTC Explorer A310e,pico,HTC Explorer
HTC,HTC Explorer A310e,pico,HTC Explorer A310b
HTC,HTC Explorer A310e,pico,HTC Explorer A310e
HTC,HTC Hero,hero,ERA G2 Touch
HTC,HTC Hero,hero,HTC Hero
HTC,HTC Hero,hero,T-Mobile G2 Touch
HTC,HTC Hero,hero,T-Mobile_G2_Touch
HTC,HTC Hero,hero,dopod A6288
HTC,HTC J Butterfly,dlxj,HTL21
HTC,HTC J One,m7wlj,HTL22
HTC,HTC J Z321e,valentewxc9,HTC J Z321e
HTC,HTC M10,htc_pmeuhl,HTC 10
HTC,HTC M8si,htc_m8qltuhl,HTC M8si
HTC,HTC M8t,htc_m8tl,HTC M8t
HTC,HTC M9,htc_himaulatt,HTC One M9
HTC,HTC M9et,htc_hima_ace_ml_dtul,HTC M9et
HTC,HTC M9ew,htc_hima_ace_ml_dtul,HTC M9ew
HTC,HTC M9pw,htc_hiau_ml_tuhl,HTC M9pw
HTC,HTC M9pw,htc_hiaur_ml_tuhl,HTC M9pw
HTC,HTC M9w,htc_himauhl,HTC M9w
HTC,HTC ONE,m7cdug,HTC One dual sim
HTC,HTC ONE A9,htc_hiaeul,HTC One A9
HTC,HTC ONE M8s,htc_m8qlul,HTC One M8s
HTC,HTC ONE M8s,htc_m8qlul,HTC_0PKV1
HTC,HTC ONE S,ville,HTC One S
HTC,HTC ONE SV,k2u,HTC K2_U
HTC,HTC ONE SV,k2u,HTC One SV
HTC,HTC ONE SV,k2ul,HTC One SV
HTC,HTC One,m7,HTC 801e
HTC,HTC One,m7,HTC One
HTC,HTC One,m7,HTC One 801e
HTC,HTC One,m7,HTC_PN071
HTC,HTC One,m7cdtu,HTC 802t
HTC,HTC One,m7cdtu,HTC 802t 16GB
HTC,HTC One,m7cdug,HTC 802w
HTC,HTC One,m7cdug,HTC One dual sim
HTC,HTC One,m7cdwg,HTC 802d
HTC,HTC One,m7cdwg,HTC One dual 802d
HTC,HTC One,m7cdwg,HTC One dual sim
HTC,HTC One,m7wls,HTC One
HTC,HTC One,m7wls,HTCONE
HTC,HTC One,m7wlv,HTC One
HTC,HTC One,m7wlv,HTC6500LVW
HTC,HTC One (E8),htc_mecdwg,HTC M8Sd
HTC,HTC One (E8),htc_mectl,HTC M8St
HTC,HTC One (E8),htc_mectl,HTC One_E8
HTC,HTC One (E8),htc_mecul,HTC One_E8
HTC,HTC One (E8),htc_mecul,HTC_M8Sx
HTC,HTC One (E8),htc_mecwhl,0PAJ5
HTC,HTC One (E8) dual sim,htc_mecdug,HTC One_E8 dual sim
HTC,HTC One (E8) dual sim,htc_mecdug,HTC_M8Sy
HTC,HTC One (E8) dual sim,htc_mecdwg,HTC 0PAJ4
HTC,HTC One (E8) dual sim,htc_mecdwg,HTC M8Sd
HTC,HTC One (E8) dual sim,htc_mecdwg,HTC One_E8 dual sim
HTC,HTC One (E8) \xe6\x97\xb6\xe5\xb0\x9a\xe7\x89\x88,htc_mectl,HTC M8St
HTC,HTC One (E8) \xe6\x97\xb6\xe5\xb0\x9a\xe7\x89\x88   4G LTE\xe5\x8f\x8c\xe5\x8d\xa1\xe5\x8f\x8c\xe5\xbe\x85\xe8\x81\x94\xe9\x80\x9a\xe7\x89\x88,htc_mecdug,HTC M8Sw
HTC,HTC One (E8) \xe6\x99\x82\xe5\xb0\x9a\xe7\x89\x884G LTE \xe7\xa7\xbb\xe5\x8a\xa8\xe7\x89\x88,htc_mectl,HTC M8Ss
HTC,HTC One (M8 EYE),htc_melsuhl,HTC 0P6B900
HTC,HTC One (M8 EYE),htc_melsuhl,HTC One_M8 Eye
HTC,HTC One (M8 Eye),htc_melsuhl,HTC 0P6B9
HTC,HTC One (M8 Eye),htc_melsuhl,HTC One_M8 Eye
HTC,HTC One (M8),htc_m8,HTC M8w
HTC,HTC One (M8),htc_m8,HTC One_M8
HTC,HTC One (M8),htc_m8,HTC_0P6B
HTC,HTC One (M8),htc_m8,HTC_0P6B6
HTC,HTC One (M8),htc_m8,HTC_M8x
HTC,HTC One (M8),htc_m8dug,HTC One_M8 dual sim
HTC,HTC One (M8),htc_m8dwg,HTC M8d
HTC,HTC One (M8),htc_m8whl,831C
HTC,HTC One (M8),htc_m8wl,HTC One_M8
HTC,HTC One (M8),htc_m8wl,HTC6525LVW
HTC,HTC One (M8) (4G LTE \xe5\x8f\x8c\xe5\x8d\xa1\xe5\x8f\x8c\xe5\xbe\x85 \xe8\x81\x94\xe9\x80\x9a\xe7\x89\x88),htc_m8dug,HTC M8e
HTC,HTC One 801e,m7,HTC One 801e
HTC,HTC One 801e,m7,HTC One 801s
HTC,HTC One A9,htc_hiaetuhl,HTC A9w
HTC,HTC One A9,htc_hiaeuhl,HTC One A9
HTC,HTC One A9,htc_hiaeuhl,HTC_A9u
HTC,HTC One A9,htc_hiaeul,HTC One A9
HTC,HTC One A9,htc_hiaewhl,2PQ93
HTC,HTC One A9s,htc_e36_ml_uhl,HTC 2PWD1
HTC,HTC One A9s,htc_e36_ml_uhl,HTC One A9s
HTC,HTC One A9s,htc_e36_ml_uhl,HTC_A9sx
HTC,HTC One A9s,htc_e36_ml_ul,HTC 2PWD2
HTC,HTC One A9s,htc_e36_ml_ul,HTC One A9s
HTC,HTC One Dual 802d,m7cdwg,HTC One dual 802d
HTC,HTC One Dual Sim,m7cdwg,HTC One dual sim
HTC,HTC One E8 dual,htc_mecdwg,HTC_M8Sd
HTC,HTC One E9 dual sim,htc_a53ml_dtul,HTC 0PL31
HTC,HTC One E9 dual sim,htc_a53ml_dtul,HTC One E9 dual sim
HTC,HTC One E9PLUS dual sim,htc_a55ml_dtul,HTC One E9PLUS dual sim
HTC,HTC One E9s dual sim,htc_a50aml,HTC D826sw
HTC,HTC One E9s dual sim,htc_a50aml,HTC One E9s dual sim
HTC,HTC One E9s dual sim,htc_a50aml,HTC_E9sx
HTC,HTC One Google Play edition,m7,HTC One
HTC,HTC One M8 eye 4G LTE \xe7\xa7\xbb\xe5\x8a\xa8\xe5\xae\x9a\xe5\x88\xb6\xe7\x89\x88,htc_melstuhl,HTC M8Et
HTC,HTC One M8 eye 4G LTE\xe8\x81\x94\xe9\x80\x9a\xe7\x89\x88,htc_melsuhl,HTC M8Ew
HTC,HTC One M9,htc_himauhl,0PJA10
HTC,HTC One M9,htc_himauhl,HTC 0PJA10
HTC,HTC One M9,htc_himauhl,HTC One M9
HTC,HTC One M9,htc_himauhl,HTC_0PJA10
HTC,HTC One M9,htc_himauhl,HTC_M9u
HTC,HTC One M9,htc_himaul,HTC One M9
HTC,HTC One M9,htc_himaulatt,HTC One M9
HTC,HTC One M9,htc_himawhl,HTC One M9
HTC,HTC One M9,htc_himawl,HTC6535LRA
HTC,HTC One M9,htc_himawl,HTC6535LVW
HTC,HTC One M9 \xe2\x80\x93 0PJA2,htc_himawhl,0PJA2
HTC,HTC One M9+,htc_hiau_ml_tuhl,HTC 0PK71
HTC,HTC One M9+,htc_hiau_ml_tuhl,HTC M9pt
HTC,HTC One M9+,htc_hiau_ml_tuhl,HTC One M9PLUS
HTC,HTC One M9+,htc_hiau_ml_tuhl,HTC_M9pw
HTC,HTC One M9+ (Prime Camera Edition),htc_hiaur2_ml_tuhl,HTC 0PK71
HTC,HTC One M9+ (Prime Camera Edition),htc_hiaur2_ml_tuhl,HTC One M9PLUS_Prime Camera Edition
HTC,HTC One M9PLUS,htc_hiau_ml_tuhl,HTC One M9PLUS
HTC,HTC One ME dual sim,htc_hima_ace_ml_dtul,HTC 0PLA1
HTC,HTC One ME dual sim,htc_hima_ace_ml_dtul,HTC One ME dual sim
HTC,HTC One S,ville,HTC One S
HTC,HTC One S,ville,HTC VLE_U
HTC,HTC One S,villec2,HTC One S
HTC,HTC One S,villec2,HTC Z560e
HTC,HTC One S Special Edition,villeplus,HTC One S Special Edition
HTC,HTC One S9,htc_himar2uhl,HTC 2PRG100
HTC,HTC One S9,htc_himar2uhl,HTC One S9
HTC,HTC One S9,htc_himar2uhl,HTC_S9u
HTC,HTC One SC,cp2dcg,HTC One SC
HTC,HTC One SC,cp2dcg,HTC One SC T528d
HTC,HTC One SV,k2cl,C525c
HTC,HTC One SV,k2plccl,HTC One SV
HTC,HTC One SV,k2ul,HTC K2_UL
HTC,HTC One SV,k2ul,HTC One SV
HTC,HTC One SV BLK,k2plccl,HTC One SV
HTC,HTC One SV BLK,k2plccl,HTC One SV BLK
HTC,HTC One V,primoc,HTC One V
HTC,HTC One V,primou,HTC ONE V
HTC,HTC One V,primou,HTC One V
HTC,HTC One VX,totemc2,HTC One VX
HTC,HTC One X,endeavoru,HTC One X
HTC,HTC One X,endeavoru,HTC S720e
HTC,HTC One X,evita,HTC One X
HTC,HTC One X+,enrc2b,HTC One X+
HTC,HTC One X+,evitareul,HTC One X+
HTC,HTC One X10,htc_e66_dtwl,HTC 2PXH1
HTC,HTC One X10,htc_e66_dtwl,HTC One X10
HTC,HTC One X10,htc_e66_dugl,HTC 2PXH2
HTC,HTC One X10,htc_e66_dugl,HTC One X10
HTC,HTC One X10,htc_e66_dugl,HTC_X10u
HTC,HTC One X9,htc_e56ml_tuhl,HTC 2PS5200
HTC,HTC One X9 dual sim,htc_e56ml_dtul,HTC One X9 dual sim
HTC,HTC One X9 dual sim,htc_e56ml_dtul,HTC X9u
HTC,HTC One X9 dual sim,htc_e56ml_dtul,HTC_X9u
HTC,HTC One XL,evita,HTC One X
HTC,HTC One XL,evita,HTC One XL
HTC,HTC One XL,evita,HTC_One_XL
HTC,HTC One XL,evitautl,HTC EVA_UTL
HTC,HTC One max,t6ul,HTC One max
HTC,HTC One max,t6ul,HTC_One_max
HTC,HTC One max,t6whl,HTC0P3P7
HTC,HTC One mini,htc_m4,HTC One mini
HTC,HTC One mini,m4,HTC One mini
HTC,HTC One mini,m4,HTC_One_mini_601e
HTC,HTC One mini,m4,HTC_PO582
HTC,HTC One mini 2,htc_memul,HTC One mini 2
HTC,HTC One mini 2,htc_memul,HTC_M8MINx
HTC,HTC One mini 2,htc_memul,HTC_One_mini_2
HTC,HTC One mini 601E,m4,HTC_One_mini_601e
HTC,HTC One remix,htc_memwl,HTC6515LVW
HTC,HTC One_E8,htc_mecul_emea,HTC One_E8
HTC,HTC Onex X,endeavoru,HTC One X
HTC,HTC PO091,csndug,HTC PO091
HTC,HTC Rhyme S510b,bliss,HTC Rhyme S510b
HTC,HTC S720e,endeavoru,HTC S720e
HTC,HTC Salsa C510e,icong,HTC Salsa C510b
HTC,HTC Salsa C510e,icong,HTC Salsa C510e
HTC,HTC Sensation XL with Beats Audio X315e,runnymede,HTC Sensation XL with Beats Audio X315b
HTC,HTC Sensation XL with Beats Audio X315e,runnymede,HTC Sensation XL with Beats Audio X315e
HTC,HTC Sensation XL with Beats Audio X315e,runnymede,HTC-X315E
HTC,HTC Sensation XL with Beats Audio X315e,runnymede,Sensation XL with Beats Audio
HTC,HTC T329d,protodcg,HTC T329d
HTC,HTC T528w,cp2dug,HTC Desire L dual sim
HTC,HTC U Play,htc_alpine_dugl,HTC U Play
HTC,HTC U Play,htc_alpine_uhl,HTC 2PZM3
HTC,HTC U Play,htc_alpine_uhl,HTC U Play
HTC,HTC U Play,htc_e36_ml_uhl,HTC 2PWD1
HTC,HTC U Ultra,htc_ocedugl,HTC U Ultra
HTC,HTC U Ultra,htc_ocedugl,HTC_U-1u
HTC,HTC U Ultra,htc_oceuhl,HTC U Ultra
HTC,HTC Velocity 4G,holiday,HTC PH39100
HTC,HTC Velocity 4G,holiday,HTC Raider X710e
HTC,HTC Velocity 4G,holiday,HTC Velocity 4G
HTC,HTC Velocity 4G,holiday,HTC Velocity 4G X710s
HTC,HTC Velocity 4G,holiday,HTC-X710a
HTC,HTC WF5w,htc_a50bml,HTC WF5w
HTC,HTC Wildfire S A515c,marvelc,HTC Wildfire S A515c
HTC,HTC Wildfire S A515c,marvelc,HTC-PG762
HTC,HTC Wildfire S A515c,marvelc,USCCADR6230US
HTC,HTC desire 608t,cp3dtg,HTC 608t
HTC,HTC first,mystul,HTC first
HTC,HTC6435LVW,dlx,HTC6435LVW
HTC,HTC909d,dlpdwg,HTC 919d
HTC,HTCDesire612VZW,htc_a3qhdcl,HTC331ZLVW
HTC,HTCDesire612VZW,htc_a3qhdcl,HTC331ZLVWPP
HTC,HTCEVODesign4G,kingdom,HTC Acquire
HTC,HTCEVODesign4G,kingdom,HTC EVO Design C715e
HTC,HTCEVODesign4G,kingdom,HTC Hero S
HTC,HTCEVODesign4G,kingdom,HTC Kingdom
HTC,HTCEVODesign4G,kingdom,HTCEVODesign4G
HTC,HTCEVODesign4G,kingdom,PH44100
HTC,HTCOneMaxVZW,t6wl,HTC6600LVW
HTC,HTC_0P3P5,t6ul,HTC_0P3P5
HTC,HTC_0P4E2,zara,HTC_0P4E2
HTC,HTC_0PFJ50,htc_a51tuhl,HTC_0PFJ50
HTC,HTC_A510c,marvelc,HTC_A510c
HTC,HTC_Amaze_4G,ruby,HTC Amaze 4G
HTC,HTC_Amaze_4G,ruby,HTC Ruby
HTC,HTC_Amaze_4G,ruby,HTC_Amaze_4G
HTC,HTC_D626q,htc_a32ml_dtul,HTC Desire 626 dual sim
HTC,HTC_D626q,htc_a32ml_dtul,HTC_D626q
HTC,HTC_D628u,htc_v36bml_uhl,HTC_D628u
HTC,HTC_D728x,htc_a50cml_dtul,HTC Desire 728 dual sim
HTC,HTC_D728x,htc_a50cml_dtul,HTC_D728x
HTC,HTC_D820f,htc_a51tuhl,HTC_D820f
HTC,HTC_D820u,htc_a51dtul,HTC_D820u
HTC,HTC_D820ys,htc_a50ml,HTC_D820ts
HTC,HTC_D820ys,htc_a50ml,HTC_D820ys
HTC,HTC_D820ys,htc_a50ml_dtul,HTC_D820ys
HTC,HTC_E9pw,htc_a55ml_dtul,HTC_E9pw
HTC,HTC_E9x,htc_a53ml_dtul,HTC_E9x
HTC,HTC_M9e,htc_himaruhl,HTC M9e
HTC,HTC_M9e,htc_himaruhl,HTC One M9_Prime Camera Edition
HTC,HTC_M9e,htc_himaruhl,HTC One M9s
HTC,HTC_M9e,htc_himaruhl,HTC_M9e
HTC,HTC_M9ew,htc_hima_ace_ml_dtul,HTC_M9ew
HTC,HTC_M9px,htc_hiaur_ml_tuhl,HTC_M9px
HTC,HTC_U-2u,htc_alpine_dugl,HTC_U-2u
HTC,HTC_X10u,htc_alpine_dugl,HTC U Play
HTC,HTC_X10u,htc_e66_uhl,HTC 2PXH3
HTC,HTL23,htc_b2wlj,HTL23
HTC,HTV31,htc_b3uhl,HTV31
HTC,Hero,heroc,HERO200
HTC,ISW13HT,valentewx,ISW13HT
HTC,Incredible 2,vivow,ADR6350
HTC,Incredible 2,vivow,HTC IncredibleS S710d
HTC,Incredible S,vivo,HTC Incredible S
HTC,Incredible S,vivo,HTC_S710E
HTC,KDDI Infobar A02,imnj,HTX21
HTC,Legend,legend,HTC Legend
HTC,Nexus 9,flounder,Nexus 9
HTC,Nexus 9 LTE,flounder_lte,Nexus 9
HTC,Nexus One,passion,Nexus One
HTC,One XL,evita,HTC One XL
HTC,Puccini,puccinilte,HTC PG09410
HTC,Puccini,puccinilte,HTC-P715a
HTC,Sensation 4G,pyramid,HTC Sensation
HTC,Sensation 4G,pyramid,HTC Sensation 4G
HTC,Sensation 4G,pyramid,HTC Sensation XE with Beats Audio
HTC,Sensation 4G,pyramid,HTC Sensation XE with Beats Audio Z715a
HTC,Sensation 4G,pyramid,HTC Sensation XE with Beats Audio Z715e
HTC,Sensation 4G,pyramid,HTC Sensation Z710a
HTC,Sensation 4G,pyramid,HTC Sensation Z710e
HTC,Sensation 4G,pyramid,HTC-Z710a
HTC,Telstra Signature\xe2\x84\xa2 Premium,htc_hiaeuhl,HTC 2PQ910
HTC,Thunderbolt,mecha,ADR6400L
HTC,Thunderbolt,mecha,HTC Mecha
HTC,Wildfire,buzz,HTC Wildfire
HTC,Wildfire CDMA,bee,HTC Bee
HTC,Wildfire CDMA,bee,HTC Wildfire
HTC,Wildfire S,marvel,HTC Wildfire S
HTC,Wildfire S,marvel,HTC Wildfire S A510b
HTC,Wildfire S,marvel,HTC Wildfire S A510e
HTC,Wildfire S,marvel,HTC-A510a
HTC,hTC Desire 530,htc_a16wl,HTC 2PST3
HTC,hTC Desire 530,htc_a16wl,HTC Desire 530
HTC,hTC Desire 530,htc_a16wl,HTCD160LVW
HTC,hTC Desire 530,htc_a16wl,HTCD160LVWPP
HTC,hTC Desire 601,zara,HTC Desire 601
HTC,htc desire 400 dual sim,cp2dug,HTC Desire 400 dual sim
HTC,htc desire 610,htc_a3qhdul,HTC Desire 610
HTC,htc desire x,protou,HTC Desire X
HTC,myTouch 3G,sapphire,HTC Magic
HTC,myTouch 3G,sapphire,T-Mobile myTouch 3G
HTC,myTouch 3G Slide,espresso,T-Mobile myTouch 3G Slide
HTC,myTouch 4G,glacier,HTC Glacier
HTC,myTouch 4G,glacier,HTC Panache
HTC,myTouch 4G Slide,doubleshot,myTouch_4G_Slide
Haier,A-TT00,A-TT00,A-TT00
Haier,AD6B1H,AD6B1H,Smartfren Andromax AD6B1H
Haier,AP54,ts18_ap54_kliver,AP54
Haier,AT7003,AT7003,AT7003
Haier,Beeline Smart 3,Beeline_Smart3,Beeline Smart 3
Haier,C46B2H,C46B2H,Andromax C46B2H
Haier,CDP7TAB4C8,CDP7TAB4C8,CDP7TAB4C8
Haier,CDP8TAB16SD,CDP8TAB16SD,CDP8TAB16SD
Haier,CEDTAB70616W8,CEDTAB70616W8,CEDTAB70616W8
Haier,CETAB10KML9,CETAB10KML9,CETAB10KML9
Haier,CETAB7ML9,CETAB7ML9,CETAB7ML9
Haier,CETAB9ML9,CETAB9ML9,CETAB9ML9
Haier,CMP_765,CMP_765,CMP_765
Haier,CT1030,CT1030,CT1030
Haier,CT301_W818,msm7627a,CT301_W818
Haier,CT825,fiber-a31stm,CT825
Haier,CYCLONE_ODYSSEY,CYCLONE_ODYSSEY,CYCLONE_ODYSSEY
Haier,D2-721,D2-721G,D2-721G
Haier,D2-751G,d2PAD,D2-751G
Haier,D2-927G,D2-927G,D2-927G
Haier,D2-961G,D2-961G,D2-961G
Haier,Fast,HM-G551-FL,Beeline Fast
Haier,G21,HM-G303-W,G21
Haier,G30,G30,G30
Haier,G31s,G31s,G31s
Haier,G40,G40,G40
Haier,G50,HM-G551-FL,G50
Haier,G55,G55,G55
Haier,G700,G700,G700
Haier,GF88,I7A-LE,I7A-LE
Haier,HG-9041,HG-9041,HG-9041
Haier,HM-I557-FL,HM-I557-FL,HM-I557-FL
Haier,HM-N501-FL,HM-N501-FL,HM-N501-FL
Haier,HS-10DTB4,HS-10DTB4,HS-10DTB4
Haier,HS-7DTB25,HS-7DTB25,HS-7DTB25
Haier,HS-7DTB29-8GB,HS-7DTB29-8GB,HS-7DTB29-8GB
Haier,HS-9DTB37,HS_9DTB37,HS_9DTB37
Haier,HT-I860,HT-I860,HT-I860
Haier,HW-I509-W,HM-I509-W,FORZA
Haier,Haier,Homesurf744,Binatone Homesurf744 / Hubble Smart7 (Homesurf744)
Haier,Haier,PAD69H,PAD69H
Haier,Haier,PAD_D85,pad_d85
Haier,Haier,W627,W627
Haier,Haier,W861,W861
Haier,Haier A42P,A42P,Haier A42P
Haier,Haier AL40,AL40,Haier_AL40
Haier,Haier T52P,T52P,Haier T52P
Haier,HomeSurf742_AT7003,HomeSurf742_AT7003,HomeSurf742_AT7003
Haier,Homesurf844,Homesurf844,Binatone Homesurf844 / Hubble Smart8 (Homesurf844)
Haier,Hyasong T1,HyasongT1,HyasongT1
Haier,I50,i50_b1b8,I50
Haier,INGO-TAB,INGO-TAB,INGO-TAB
Haier,Konnect_350,Konnect_350,Konnect_350
Haier,L11,HM-G152-FL,HM-G152-FL
Haier,L50,M916-D500-PAK,L50
Haier,L52,Haier_L52,L52
